䔨,https://www.aozora.gr.jp/gaiji/2-13/2-13-47.png,「てへん＋掌」、第4水準2-13-47
撿,https://www.aozora.gr.jp/gaiji/1-84/1-84-94.png,「てへん＋僉」、第3水準1-84-94
位,https://www.aozora.gr.jp/gaiji/1-14/1-14-76.png,「勹／夕」、第3水準1-14-76
〻,https://www.aozora.gr.jp/gaiji/1-02/1-02-22.png,二の字点、1-2-22
聱,https://www.aozora.gr.jp/gaiji/2-85/2-85-13.png,「敖／耳」、第4水準2-85-13
位,https://www.aozora.gr.jp/gaiji/1-14/1-14-76.png,「勹＜夕」、第3水準1-14-76
梥,https://www.aozora.gr.jp/gaiji/1-85/1-85-07.png,「てへん＋黨」、第3水準1-85-7
䓅,https://www.aozora.gr.jp/gaiji/2-12/2-12-11.png,「廴＋囘」、第4水準2-12-11
噯,https://www.aozora.gr.jp/gaiji/1-15/1-15-23.png,「口＋愛」、第3水準1-15-23
䗱,https://www.aozora.gr.jp/gaiji/2-78/2-78-12.png,「てへん＋毟」、第4水準2-78-12
睜,https://www.aozora.gr.jp/gaiji/1-88/1-88-85.png,「目＋爭」、第3水準1-88-85
Ⅰ,https://www.aozora.gr.jp/gaiji/1-13/1-13-21.png,ローマ数字1、1-13-21
䤣,https://www.aozora.gr.jp/gaiji/2-89/2-89-30.png,「足へん＋寿」、第4水準2-89-30
䪦,https://www.aozora.gr.jp/gaiji/2-94/2-94-57.png,「麾」の「毛」にかえて「公」の右上の欠けたもの、第4水準2-94-57
ヹ,https://www.aozora.gr.jp/gaiji/1-07/1-07-84.png,濁点付き片仮名ヱ、1-7-84
⁉,https://www.aozora.gr.jp/gaiji/1-08/1-08-78.png,感嘆符疑問符、1-8-78
璉,https://www.aozora.gr.jp/gaiji/1-88/1-88-24.png,「王＋連」、第3水準1-88-24
渗,https://www.aozora.gr.jp/gaiji/2-78/2-78-61.png,「さんずい＋参」、第4水準2-78-61
㾗,https://www.aozora.gr.jp/gaiji/1-08/1-08-77.png,疑問符感嘆符、1-8-77
踠,https://www.aozora.gr.jp/gaiji/1-92/1-92-36.png,「足へん＋宛」、第3水準1-92-36
䍅,https://www.aozora.gr.jp/gaiji/1-94/1-94-06.png,「需＋頁」、第3水準1-94-6
䝬,https://www.aozora.gr.jp/gaiji/2-83/2-83-40.png,「竹かんむり／銭のつくり」、第4水準2-83-40
‼,https://www.aozora.gr.jp/gaiji/1-08/1-08-75.png,感嘆符二つ、1-8-75
ä,https://www.aozora.gr.jp/gaiji/1-09/1-09-58.png,ダイエレシス付きA小文字
䇍,https://www.aozora.gr.jp/gaiji/1-47/1-47-78.png,「山＋険のつくり」、第3水準1-47-78
揷,https://www.aozora.gr.jp/gaiji/2-13/2-13-28.png,「插」でつくりの縦棒が下に突き抜けている、第4水準2-13-28
檞,https://www.aozora.gr.jp/gaiji/1-86/1-86-22.png,「木＋解」、第3水準1-86-22
尫,https://www.aozora.gr.jp/gaiji/1-47/1-47-62.png,「兀のにょうの形＋王」、第3水準1-47-62
